TimeUs,Ugen,Ur1,Ul1
1.23,6.0,-11.333333333333334,-9.333333333333334
1.24,8.666666666666666,-8.666666666666666,-9.333333333333334
1.25,8.666666666666666,-8.666666666666666,-12.0
1.26,6.0,-6.0,-12.0
1.27,6.0,-6.0,-9.333333333333334
1.28,6.0,-3.3333333333333335,-9.333333333333334
1.29,6.0,-3.3333333333333335,-9.333333333333334
1.3,8.666666666666666,-0.6666666666666666,-9.333333333333334
1.31,8.666666666666666,-0.6666666666666666,-9.333333333333334
1.32,8.666666666666666,-0.6666666666666666,-6.666666666666667
1.33,8.666666666666666,-0.6666666666666666,-6.666666666666667
1.34,8.666666666666666,-0.6666666666666666,-6.666666666666667
1.35,8.666666666666666,-3.3333333333333335,-9.333333333333334
1.36,8.666666666666666,-3.3333333333333335,-12.0
1.37,6.0,-3.3333333333333335,-12.0
