index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
123,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
124,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
125,80.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
126,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
127,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
128,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
129,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
130,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
131,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
132,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
133,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
134,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
135,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
136,0.0,2560.0,2560.0,8400.0,0.0,80.0,2320.0
137,80.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
138,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
139,80.0,2560.0,2560.0,8480.0,-80.0,80.0,2320.0
140,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
141,0.0,2560.0,2480.0,8480.0,-80.0,80.0,2320.0
142,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
143,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
144,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
145,-80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
146,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
147,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
148,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
149,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
