TimeUs,Urg (Ch1),Ugen,Ugs (Ch2),Urn (Ch3),Uds (Ch4)
179,1266.6666666666667,1805.3333333333333,594.6666666666666,3096.0,4688.0
180,1258.6666666666667,1802.6666666666667,594.6666666666666,3088.0,4701.333333333333
181,1253.3333333333333,1797.3333333333333,594.6666666666666,3080.0,4714.666666666667
182,1248.0,1794.6666666666667,592.0,3069.3333333333335,4728.0
183,1242.6666666666667,1789.3333333333333,592.0,3056.0,4741.333333333333
184,1240.0,1784.0,592.0,3042.6666666666665,4754.666666666667
185,1237.3333333333333,1778.6666666666667,592.0,3032.0,4762.666666666667
186,1234.6666666666667,1773.3333333333333,592.0,3021.3333333333335,4773.333333333333
187,1232.0,1765.3333333333333,589.3333333333334,3010.6666666666665,4786.666666666667
188,1226.6666666666667,1760.0,589.3333333333334,3002.6666666666665,4800.0
189,1224.0,1754.6666666666667,589.3333333333334,2992.0,4813.333333333333
190,1218.6666666666667,1749.3333333333333,589.3333333333334,2981.3333333333335,4824.0
191,1216.0,1744.0,589.3333333333334,2970.6666666666665,4834.666666666667
192,1210.6666666666667,1738.6666666666667,586.6666666666666,2960.0,4850.666666666667
193,1208.0,1733.3333333333333,586.6666666666666,2949.3333333333335,4861.333333333333
194,1205.3333333333333,1728.0,586.6666666666666,2938.6666666666665,4872.0
195,1200.0,1725.3333333333333,586.6666666666666,2928.0,4882.666666666667
196,1194.6666666666667,1717.3333333333333,586.6666666666666,2917.3333333333335,4893.333333333333
197,1189.3333333333333,1712.0,586.6666666666666,2904.0,4906.666666666667
198,1184.0,1706.6666666666667,586.6666666666666,2893.3333333333335,4920.0
199,1178.6666666666667,1701.3333333333333,584.0,2882.6666666666665,4930.666666666667
200,1176.0,1696.0,584.0,2872.0,4941.333333333333
201,1170.6666666666667,1690.6666666666667,581.3333333333334,2861.3333333333335,4952.0
202,1165.3333333333333,1685.3333333333333,581.3333333333334,2848.0,4962.666666666667
203,1162.6666666666667,1680.0,581.3333333333334,2837.3333333333335,4976.0
204,1154.6666666666667,1674.6666666666667,581.3333333333334,2826.6666666666665,4992.0
205,1149.3333333333333,1669.3333333333333,581.3333333333334,2816.0,5005.333333333333
206,1146.6666666666667,1666.6666666666667,581.3333333333334,2805.3333333333335,5018.666666666667
207,1144.0,1661.3333333333333,581.3333333333334,2794.6666666666665,5032.0
208,1141.3333333333333,1658.6666666666667,581.3333333333334,2784.0,5048.0
209,1136.0,1653.3333333333333,581.3333333333334,2770.6666666666665,5061.333333333333
210,1133.3333333333333,1645.3333333333333,581.3333333333334,2760.0,5072.0
211,1128.0,1640.0,581.3333333333334,2746.6666666666665,5085.333333333333
212,1122.6666666666667,1634.6666666666667,584.0,2736.0,5098.666666666667
213,1117.3333333333333,1629.3333333333333,581.3333333333334,2722.6666666666665,5112.0
214,1112.0,1624.0,581.3333333333334,2709.3333333333335,5125.333333333333
215,1106.6666666666667,1618.6666666666667,581.3333333333334,2698.6666666666665,5141.333333333333
216,1101.3333333333333,1613.3333333333333,581.3333333333334,2688.0,5154.666666666667
217,1096.0,1608.0,581.3333333333334,2674.6666666666665,5165.333333333333
218,1093.3333333333333,1602.6666666666667,581.3333333333334,2664.0,5178.666666666667
219,1088.0,1597.3333333333333,581.3333333333334,2656.0,5192.0
220,1085.3333333333333,1594.6666666666667,578.6666666666666,2648.0,5208.0
221,1080.0,1589.3333333333333,578.6666666666666,2637.3333333333335,5221.333333333333
222,1077.3333333333333,1584.0,581.3333333333334,2626.6666666666665,5232.0
223,1072.0,1578.6666666666667,581.3333333333334,2618.6666666666665,5248.0
224,1066.6666666666667,1573.3333333333333,581.3333333333334,2610.6666666666665,5261.333333333333
225,1061.3333333333333,1565.3333333333333,581.3333333333334,2600.0,5272.0
226,1056.0,1560.0,581.3333333333334,2592.0,5285.333333333333
227,1050.6666666666667,1554.6666666666667,581.3333333333334,2584.0,5298.666666666667
228,1045.3333333333333,1549.3333333333333,581.3333333333334,2570.6666666666665,5314.666666666667
229,1040.0,1544.0,584.0,2557.3333333333335,5330.666666666667
230,1037.3333333333333,1538.6666666666667,584.0,2544.0,5346.666666666667
231,1034.6666666666667,1536.0,586.6666666666666,2530.6666666666665,5362.666666666667
232,1032.0,1530.6666666666667,586.6666666666666,2520.0,5378.666666666667
233,1026.6666666666667,1525.3333333333333,586.6666666666666,2506.6666666666665,5386.666666666667
234,1024.0,1520.0,586.6666666666666,2496.0,5397.333333333333
235,1018.6666666666666,1514.6666666666667,586.6666666666666,2482.6666666666665,5408.0
236,1013.3333333333334,1509.3333333333333,586.6666666666666,2469.3333333333335,5421.333333333333
237,1008.0,1506.6666666666667,586.6666666666666,2458.6666666666665,5432.0
238,1002.6666666666666,1498.6666666666667,586.6666666666666,2442.6666666666665,5440.0
239,1000.0,1493.3333333333333,586.6666666666666,2432.0,5450.666666666667
240,994.6666666666666,1490.6666666666667,586.6666666666666,2418.6666666666665,5458.666666666667
241,989.3333333333334,1485.3333333333333,586.6666666666666,2405.3333333333335,5466.666666666667
242,984.0,1480.0,586.6666666666666,2394.6666666666665,5480.0
243,978.6666666666666,1474.6666666666667,589.3333333333334,2384.0,5493.333333333333
244,973.3333333333334,1472.0,589.3333333333334,2373.3333333333335,5506.666666666667
245,968.0,1466.6666666666667,589.3333333333334,2357.3333333333335,5520.0
246,965.3333333333334,1461.3333333333333,589.3333333333334,2344.0,5533.333333333333
247,960.0,1456.0,589.3333333333334,2330.6666666666665,5546.666666666667
248,954.6666666666666,1450.6666666666667,589.3333333333334,2317.3333333333335,5557.333333333333
249,949.3333333333334,1445.3333333333333,589.3333333333334,2304.0,5568.0
250,944.0,1440.0,592.0,2290.6666666666665,5581.333333333333
251,938.6666666666666,1437.3333333333333,592.0,2277.3333333333335,5594.666666666667
252,933.3333333333334,1434.6666666666667,589.3333333333334,2261.3333333333335,5610.666666666667
253,930.6666666666666,1432.0,589.3333333333334,2245.3333333333335,5624.0
254,925.3333333333334,1429.3333333333333,589.3333333333334,2226.6666666666665,5637.333333333333
255,920.0,1424.0,589.3333333333334,2210.6666666666665,5653.333333333333
256,914.6666666666666,1418.6666666666667,589.3333333333334,2194.6666666666665,5666.666666666667
257,909.3333333333334,1416.0,589.3333333333334,2178.6666666666665,5677.333333333333
258,904.0,1410.6666666666667,589.3333333333334,2168.0,5688.0
259,898.6666666666666,1405.3333333333333,589.3333333333334,2154.6666666666665,5701.333333333333
260,893.3333333333334,1402.6666666666667,589.3333333333334,2141.3333333333335,5712.0
261,888.0,1397.3333333333333,589.3333333333334,2128.0,5722.666666666667
262,882.6666666666666,1392.0,589.3333333333334,2114.6666666666665,5736.0
263,877.3333333333334,1386.6666666666667,589.3333333333334,2101.3333333333335,5749.333333333333
264,872.0,1381.3333333333333,586.6666666666666,2088.0,5762.666666666667
265,866.6666666666666,1376.0,586.6666666666666,2077.3333333333335,5778.666666666667
266,861.3333333333334,1370.6666666666667,586.6666666666666,2066.6666666666665,5794.666666666667
267,856.0,1365.3333333333333,586.6666666666666,2050.6666666666665,5810.666666666667
268,850.6666666666666,1362.6666666666667,584.0,2040.0,5826.666666666667
269,845.3333333333334,1357.3333333333333,584.0,2026.6666666666667,5842.666666666667
270,842.6666666666666,1349.3333333333333,584.0,2013.3333333333333,5861.333333333333
271,840.0,1344.0,584.0,2002.6666666666667,5877.333333333333
272,834.6666666666666,1341.3333333333333,581.3333333333334,1989.3333333333333,5888.0
273,832.0,1338.6666666666667,581.3333333333334,1978.6666666666667,5901.333333333333
274,829.3333333333334,1333.3333333333333,581.3333333333334,1965.3333333333333,5914.666666666667
275,826.6666666666666,1330.6666666666667,581.3333333333334,1954.6666666666667,5930.666666666667
276,821.3333333333334,1325.3333333333333,581.3333333333334,1941.3333333333333,5944.0
277,818.6666666666666,1322.6666666666667,581.3333333333334,1930.6666666666667,5957.333333333333
278,813.3333333333334,1317.3333333333333,578.6666666666666,1917.3333333333333,5970.666666666667
279,808.0,1312.0,578.6666666666666,1904.0,5986.666666666667
280,802.6666666666666,1306.6666666666667,578.6666666666666,1890.6666666666667,5997.333333333333
281,797.3333333333334,1301.3333333333333,578.6666666666666,1880.0,6013.333333333333
282,792.0,1296.0,581.3333333333334,1869.3333333333333,6026.666666666667
283,786.6666666666666,1290.6666666666667,581.3333333333334,1856.0,6037.333333333333
284,784.0,1285.3333333333333,581.3333333333334,1842.6666666666667,6053.333333333333
285,781.3333333333334,1282.6666666666667,578.6666666666666,1832.0,6066.666666666667
286,778.6666666666666,1277.3333333333333,576.0,1818.6666666666667,6077.333333333333
287,776.0,1272.0,573.3333333333334,1808.0,6090.666666666667
288,770.6666666666666,1269.3333333333333,573.3333333333334,1797.3333333333333,6104.0
289,768.0,1264.0,573.3333333333334,1789.3333333333333,6114.666666666667
290,762.6666666666666,1256.0,570.6666666666666,1778.6666666666667,6128.0
291,760.0,1253.3333333333333,570.6666666666666,1765.3333333333333,6141.333333333333
292,754.6666666666666,1248.0,570.6666666666666,1754.6666666666667,6152.0
293,752.0,1242.6666666666667,570.6666666666666,1741.3333333333333,6168.0
294,749.3333333333334,1237.3333333333333,570.6666666666666,1730.6666666666667,6181.333333333333
