Channel              :,CH1,CH2
Frequency            :,500.0Hz,500.0Hz
Period               :,2.000ms,2.000ms
PK-PK                :,7.200V,8.160V
Probe attenuation    :,10X,10X
Voltage per ADC value:,5.000000mV,5.000000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
424,2160.000000,-3520.000000
425,2080.000000,-3520.000000
426,2080.000000,-3600.000000
427,2160.000000,-3520.000000
428,2160.000000,-3600.000000
429,2080.000000,-3600.000000
430,2080.000000,-3600.000000
431,2160.000000,-3520.000000
432,2080.000000,-3520.000000
433,2160.000000,-3600.000000
434,2160.000000,-3600.000000
435,2160.000000,-3600.000000
436,2080.000000,-3600.000000
437,2160.000000,-3600.000000
438,2160.000000,-3600.000000
439,2160.000000,-3520.000000
440,2160.000000,-3600.000000
441,2160.000000,-3520.000000
442,2160.000000,-3520.000000
443,2160.000000,-3600.000000
444,2160.000000,-3600.000000
445,2160.000000,-3600.000000
446,2160.000000,-3520.000000
447,2240.000000,-3600.000000
448,2160.000000,-3600.000000
449,2160.000000,-3600.000000
450,2160.000000,-3520.000000
451,2160.000000,-3600.000000
452,2160.000000,-3600.000000
453,2160.000000,-3520.000000
454,2240.000000,-3600.000000
455,2160.000000,-3520.000000
456,2160.000000,-3520.000000
457,2240.000000,-3600.000000
458,2240.000000,-3520.000000
459,2240.000000,-3520.000000
460,2240.000000,-3520.000000
461,2240.000000,-3600.000000
462,2240.000000,-3520.000000
463,2240.000000,-3520.000000
464,2240.000000,-3520.000000
465,2240.000000,-3600.000000
466,2240.000000,-3600.000000
467,2240.000000,-3520.000000
468,2240.000000,-3600.000000
469,2240.000000,-3600.000000
470,2240.000000,-3520.000000
471,2240.000000,-3600.000000
472,2240.000000,-3600.000000
473,2240.000000,-3520.000000
474,2240.000000,-3600.000000
475,2160.000000,-3600.000000
476,2240.000000,-3520.000000
477,2240.000000,-3600.000000
478,2320.000000,-3600.000000
479,2320.000000,-3600.000000
480,2320.000000,-3600.000000
481,2320.000000,-3520.000000
