index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
199,-80.0,3920.0,4160.0,8560.0,80.0,-240.0,4000.0
200,-80.0,3840.0,4080.0,8560.0,80.0,-240.0,4000.0
201,-80.0,3840.0,4080.0,8560.0,0.0,-240.0,4000.0
202,-80.0,3840.0,4080.0,8560.0,80.0,-240.0,4000.0
203,-80.0,3840.0,4080.0,8480.0,80.0,-240.0,4000.0
204,-80.0,3840.0,4160.0,8560.0,80.0,-240.0,4000.0
205,-80.0,3840.0,4080.0,8560.0,80.0,-240.0,3920.0
206,-80.0,3840.0,4080.0,8560.0,80.0,-240.0,4000.0
207,-80.0,3840.0,4080.0,8560.0,80.0,-240.0,4000.0
208,-160.0,3840.0,4080.0,8560.0,80.0,-160.0,4000.0
209,-80.0,3840.0,4160.0,8560.0,80.0,-240.0,4000.0
210,-80.0,3760.0,4080.0,8560.0,0.0,-160.0,4000.0
211,-160.0,3840.0,4080.0,8560.0,0.0,-240.0,3920.0
212,-160.0,3840.0,4080.0,8560.0,80.0,-240.0,4000.0
213,-80.0,3760.0,4080.0,8560.0,80.0,-240.0,4000.0
214,-80.0,3760.0,4080.0,8560.0,0.0,-240.0,4000.0
215,-160.0,3760.0,4160.0,8560.0,80.0,-240.0,3920.0
216,-160.0,3760.0,4080.0,8560.0,80.0,-240.0,4000.0
217,-160.0,3760.0,4080.0,8560.0,80.0,-320.0,3920.0
218,-160.0,3760.0,4080.0,8560.0,0.0,-320.0,4000.0
219,-80.0,3760.0,4080.0,8480.0,0.0,-240.0,4000.0
220,-160.0,3680.0,4080.0,8560.0,0.0,-320.0,4000.0
221,-160.0,3760.0,4080.0,8560.0,80.0,-320.0,3920.0
222,-160.0,3760.0,4080.0,8560.0,80.0,-320.0,3920.0
223,-160.0,3760.0,4080.0,8560.0,80.0,-320.0,3920.0
224,-240.0,3760.0,4080.0,8560.0,80.0,-320.0,3920.0
225,-240.0,3760.0,4080.0,8560.0,80.0,-320.0,3920.0
226,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,4000.0
227,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,3920.0
228,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,4000.0
229,-240.0,3680.0,4080.0,8560.0,80.0,-400.0,3920.0
230,-240.0,3680.0,4080.0,8560.0,80.0,-400.0,3920.0
231,-240.0,3680.0,4080.0,8560.0,80.0,-320.0,3920.0
